"ID","FL","AgeClass"
1822,32.2,"1"
1823,40.2,"2"
1824,30.8,"1"
1825,32.8,"2"
1826,29.9,"2"
1827,30,"1"
1828,30.2,"1"
1829,32.9,"2"
1830,33.5,"2"
1831,31.4,"1"
1832,28.8,"1"
1833,34.1,"1"
1834,30.1,"1"
1835,34,"1"
1836,33,"1"
1837,30.6,"1"
1838,29.3,"1"
1839,31.2,"1"
1840,30.5,"1"
1841,31.2,"1"
1842,33,"1"
1843,30.2,"1"
1844,30.8,"1"
1845,39,"2"
1846,29.2,"1"
1847,33.5,"1"
1848,36.4,"2"
1849,29,"1"
1850,38.1,"1"
1851,37.5,"2"
1852,34.9,"2"
1853,36.5,"2"
1854,33.6,"2"
1855,37.1,"3"
1856,33.1,"2"
1857,32.3,"2"
1858,30.5,"1"
1859,41.2,"3"
1860,35.2,"2"
1861,35.5,"2"
1862,36.8,"2"
1863,32.5,"0"
1864,61,"4"
1865,48.6,"3"
1866,44.9,"2"
1867,44.4,"2"
1868,48.8,"2"
1869,58.6,"4"
1870,38.8,"2"
1871,40.7,"2"
1872,38.3,"2"
1873,35.4,"2"
1874,39.5,"2"
1875,38,"2"
1876,38.2,"2"
1877,44.5,"3"
1878,37,"2"
1879,38.4,"2"
1880,39.9,"2"
1881,37.7,"2"
1882,34.5,"2"
1883,38.4,"2"
1884,28.7,"1"
1886,47.5,"2"
1887,34.5,"1"
1888,31.1,"1"
1889,36.8,"2"
1890,31.6,"1"
